scenario_id,scope,family,pattern,n_seeds,delta_l1_coherence_min,delta_l1_coherence_max,delta_l1_coherence_range,delta_l1_coherence_std,delta_purity_min,delta_purity_max,delta_purity_range,delta_purity_std,max_abs_part_P1_delta_min,max_abs_part_P1_delta_max,max_abs_part_P1_delta_range,max_abs_part_P1_delta_std,max_abs_ZZ_delta_min,max_abs_ZZ_delta_max,max_abs_ZZ_delta_range,max_abs_ZZ_delta_std,max_abs_negativity_delta_min,max_abs_negativity_delta_max,max_abs_negativity_delta_range,max_abs_negativity_delta_std,coherence_signs,seed_instability_score
47,original_54,initial_environment_variation,random_product,10,-3.735810435265,6.695435901478,10.431246336743,2.843034861951,-0.453637328186,-0.300073444894,0.153563883292,0.044886230839,0.382966203102,0.656315368625,0.273349165523,0.074623866877,1.020936540917,1.61245415566,0.591517614743,0.190171070011,0.023728735207,0.138468825645,0.114740090438,0.033180679177,+9/-1/00,2.086249267349
29,original_54,rhythm_stop_burst,stop_then_reverse_phase,10,1.898891400862,2.748753874079,0.849862473217,0.254958264313,0.0,0.0,0.0,0.0,0.625007559761,0.644012941067,0.019005381306,0.005282287802,0.481851805755,0.570520868356,0.088669062601,0.026776156324,0.123930629823,0.132529804803,0.00859917498,0.002558422934,+10/-0/00,0.169972494643
51,original_54,two_cell_contact,separate_recontact,10,1.841836214712,2.684932495355,0.843096280643,0.211130975393,0.0,0.0,0.0,0.0,0.531738628747,0.554524309468,0.022785680721,0.007168227159,0.890265127688,0.947724634822,0.057459507134,0.01518923574,0.172786914297,0.197045462633,0.024258548336,0.007004615967,+10/-0/00,0.168619256129
49,original_54,initial_environment_variation,seed_entangled,10,-4.375335378994,-3.545166642084,0.83016873691,0.252835252586,-0.474082452687,-0.465829613286,0.008252839401,0.002452733683,0.369913218696,0.399854326771,0.029941108075,0.008736908205,0.929686905856,0.981470235264,0.051783329408,0.01629204403,0.264320242711,0.29030648161,0.025986238899,0.006990109534,+0/-10/00,0.166033747382
26,original_54,rhythm_stop_burst,slow_repeat_A,10,1.892445228724,2.720016784618,0.827571555894,0.239953152117,0.0,0.0,0.0,0.0,0.587830847819,0.614466544297,0.026635696478,0.007381585824,0.812335602827,0.867310820851,0.054975218024,0.01806096309,0.140930454767,0.169358295239,0.028427840472,0.008325412549,+10/-0/00,0.165514311179
1019,expanded_axes,duplication_asymmetry,one_part_overdriven_B,10,2.158564881625,2.973199114847,0.814634233222,0.230109499338,0.0,0.0,0.0,0.0,0.405521179837,0.425950998675,0.020429818838,0.00540740481,0.907864987593,0.997323721419,0.089458733826,0.021543358659,0.235492121587,0.249369396667,0.01387727508,0.004112117295,+10/-0/00,0.162926846644
54,original_54,two_cell_contact,shared_noise_then_contact,10,0.201946903501,1.016029909072,0.814083005571,0.237963363164,-0.372225998669,-0.35264243805,0.019583560619,0.005704563032,0.49247148767,0.519426377581,0.026954889911,0.008763259752,0.579667053398,0.635648149541,0.055981096143,0.016894123002,0.033017020856,0.039991980058,0.006974959202,0.002297076813,+10/-0/00,0.162816601114
27,original_54,rhythm_stop_burst,irregular_ABCD,10,3.433738389246,4.240289628571,0.806551239325,0.256462002331,0.0,0.0,0.0,0.0,0.36428204469,0.383866986536,0.019584941846,0.00657346017,0.748726809123,0.803382826777,0.054656017654,0.018405114298,0.171567707,0.179414273553,0.007846566553,0.002078209953,+10/-0/00,0.161310247865
1020,expanded_axes,duplication_asymmetry,one_part_suppressed_C,10,2.583846546858,3.33726586796,0.753419321102,0.216420221435,-0.019524120745,-0.013162842012,0.006361278733,0.001722532345,0.488203237672,0.520623150334,0.032419912662,0.008881950833,0.759200258072,0.848495350137,0.089295092065,0.027184182704,0.204659077596,0.213462596743,0.008803519147,0.002549404324,+10/-0/00,0.15068386422
1021,expanded_axes,duplication_asymmetry,asymmetric_long_link_AD,10,3.876988387411,4.281705684497,0.404717297086,0.117399614891,0.0,0.0,0.0,0.0,0.470608247055,0.50952594673,0.038917699675,0.011419774226,0.627946899744,0.77343855967,0.145491659926,0.037728763632,0.139381520002,0.155288715167,0.015907195165,0.005366223281,+10/-0/00,0.145491659926
