scenario_id,family,pattern,n_steps,delta_l1_coherence,delta_purity,max_abs_part_P1_delta,max_abs_ZZ_delta,max_abs_negativity_delta,part_P1_delta_json,pair_ZZ_delta_json,pair_negativity_delta_json
11,all_24_touch_orders,BDAC,9,2.957294889642,0.0,0.617689007366,0.616236276825,0.275110294752,"{""A"": 0.617689007366, ""B"": 0.335059309717, ""C"": 0.211550263255, ""D"": 0.537070389726}","{""AB"": -0.389815133601, ""AC"": -0.616236276825, ""AD"": -0.099429943545, ""BC"": -0.483710394896, ""BD"": -0.35359955466, ""CD"": -0.246394006318}","{""AB"": 0.032025616018, ""AC"": 0.004024478409, ""AD"": 0.0, ""BC"": 0.275110294752, ""BD"": 0.005367747039, ""CD"": 0.15006435418}"
12,all_24_touch_orders,BDCA,9,2.132230685999,0.0,0.688346193333,0.771476622431,0.26538909441,"{""A"": 0.688346193333, ""B"": 0.326899182853, ""C"": 0.144527442085, ""D"": 0.499851723089}","{""AB"": -0.406898508435, ""AC"": -0.771476622431, ""AD"": -0.06325400854, ""BC"": -0.552152633678, ""BD"": -0.388484708284, ""CD"": -0.346158744798}","{""AB"": 0.033613201716, ""AC"": 0.0048610226, ""AD"": 0.0, ""BC"": 0.26538909441, ""BD"": 0.0046455002, ""CD"": 0.156749305988}"
13,all_24_touch_orders,CABD,9,0.907737761261,0.0,0.651507565825,0.849946302395,0.217401767151,"{""A"": 0.505906359277, ""B"": 0.056093529947, ""C"": 0.427230909091, ""D"": 0.651507565825}","{""AB"": -0.553462819522, ""AC"": -0.491561034055, ""AD"": -0.171084609642, ""BC"": -0.709299573704, ""BD"": -0.849946302395, ""CD"": 0.029167056991}","{""AB"": 0.060339697796, ""AC"": 0.011980377475, ""AD"": 0.0, ""BC"": 0.217401767151, ""BD"": 0.0, ""CD"": 0.07040573506}"
14,all_24_touch_orders,CADB,9,2.230815529282,0.0,0.564287066813,0.709731564825,0.212786089436,"{""A"": 0.519386201317, ""B"": 0.107772356643, ""C"": 0.41982905178, ""D"": 0.564287066813}","{""AB"": -0.5528447667, ""AC"": -0.4591935825, ""AD"": -0.195875682841, ""BC"": -0.709731564825, ""BD"": -0.693298154622, ""CD"": 0.040160366759}","{""AB"": 0.038419115094, ""AC"": 0.005921401329, ""AD"": 0.0, ""BC"": 0.212786089436, ""BD"": 0.0, ""CD"": 0.097285511742}"
15,all_24_touch_orders,CBAD,9,0.819954669892,0.0,0.648654897693,0.760386053051,0.193868614937,"{""A"": 0.587395030425, ""B"": 0.109591354403, ""C"": 0.35872944112, ""D"": 0.648654897693}","{""AB"": -0.515159622973, ""AC"": -0.503376165827, ""AD"": -0.042873039125, ""BC"": -0.668125472395, ""BD"": -0.760386053051, ""CD"": -0.079380008402}","{""AB"": 0.102063716424, ""AC"": 0.009284360027, ""AD"": 0.0, ""BC"": 0.193868614937, ""BD"": 0.0, ""CD"": 0.095285585241}"
16,all_24_touch_orders,CBDA,9,1.452563079642,0.0,0.649801159516,0.683787118726,0.178555610217,"{""A"": 0.649801159516, ""B"": 0.119329996082, ""C"": 0.34606841453, ""D"": 0.564843887195}","{""AB"": -0.590817320111, ""AC"": -0.52231456431, ""AD"": -0.03376898794, ""BC"": -0.683787118726, ""BD"": -0.670957214839, ""CD"": -0.071802384122}","{""AB"": 0.124488176858, ""AC"": 0.0049965145, ""AD"": 0.0, ""BC"": 0.178555610217, ""BD"": 0.0, ""CD"": 0.119527505645}"
17,all_24_touch_orders,CDAB,9,2.651432317283,0.0,0.583365183313,0.708154573171,0.211777987057,"{""A"": 0.583365183313, ""B"": 0.131940158531, ""C"": 0.412620454646, ""D"": 0.514317684394}","{""AB"": -0.569273961854, ""AC"": -0.453374348805, ""AD"": -0.156101969201, ""BC"": -0.708154573171, ""BD"": -0.609028991896, ""CD"": 0.000948454235}","{""AB"": 0.056245816158, ""AC"": 0.008944079023, ""AD"": 0.0, ""BC"": 0.211777987057, ""BD"": 0.002859605625, ""CD"": 0.09387633333}"
18,all_24_touch_orders,CDBA,9,2.045692781199,0.0,0.623306174867,0.720615232146,0.198643989586,"{""A"": 0.623306174867, ""B"": 0.09179006243, ""C"": 0.406179576558, ""D"": 0.516529848969}","{""AB"": -0.684556855366, ""AC"": -0.485720270544, ""AD"": -0.111580856279, ""BC"": -0.720615232146, ""BD"": -0.650278454705, ""CD"": -0.026123566179}","{""AB"": 0.11234922914, ""AC"": 0.011464275373, ""AD"": 0.0, ""BC"": 0.198643989586, ""BD"": 0.0, ""CD"": 0.087648103298}"
19,all_24_touch_orders,DABC,9,4.0964518954,0.0,0.519668124533,0.630369334254,0.365546498249,"{""A"": 0.506740629734, ""B"": 0.220293145602, ""C"": 0.3340227824, ""D"": 0.519668124533}","{""AB"": -0.524691228621, ""AC"": -0.630369334254, ""AD"": -0.226018606376, ""BC"": -0.559244437895, ""BD"": -0.477199818802, ""CD"": -0.159187847727}","{""AB"": 0.008239647811, ""AC"": 0.027369414885, ""AD"": 0.0, ""BC"": 0.365546498249, ""BD"": 0.006056081275, ""CD"": 0.052303059912}"
20,all_24_touch_orders,DACB,9,4.311718112166,0.0,0.524405476965,0.624587857133,0.384860994045,"{""A"": 0.524405476965, ""B"": 0.269636498768, ""C"": 0.30197989702, ""D"": 0.483005452367}","{""AB"": -0.493114599627, ""AC"": -0.612194394037, ""AD"": -0.230735160145, ""BC"": -0.624587857133, ""BD"": -0.429552171809, ""CD"": -0.19198800484}","{""AB"": 0.003480764917, ""AC"": 0.016840715525, ""AD"": 0.0, ""BC"": 0.384860994045, ""BD"": 0.006114238299, ""CD"": 0.046376579634}"
