candidate_id,grid_id,cost_per_angle,n_seed,mean_gain_before_cost,mean_angle_budget,mean_gross_controller_cost,mean_net_gain_after_cost,median_net_gain_after_cost,n_net_positive_after_cost,min_break_even_cost_per_angle,mean_break_even_cost_per_angle,no_resource_trick_count,max_budget_excess,max_residual
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0496,0.0,60,0.20382705967627776,290.23273681734355,0.0,0.20382705967627776,0.2032412522536198,60,0.0006725980178214272,0.0007022812293588455,0,0.0,8.504308368628699e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0496,1e-05,60,0.20382705967627776,290.23273681734355,0.002902327368173435,0.20092473230810434,0.2003425536223985,60,0.0006725980178214272,0.0007022812293588455,0,0.0,8.504308368628699e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0496,3e-05,60,0.20382705967627776,290.23273681734355,0.008706982104520306,0.19512007757175748,0.19453881766222159,60,0.0006725980178214272,0.0007022812293588455,0,0.0,8.504308368628699e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0496,0.0001,60,0.20382705967627776,290.23273681734355,0.029023273681734352,0.17480378599454344,0.1742055909570262,60,0.0006725980178214272,0.0007022812293588455,0,0.0,8.504308368628699e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0496,0.0003,60,0.20382705967627776,290.23273681734355,0.08706982104520304,0.11675723863107472,0.11612783911375935,60,0.0006725980178214272,0.0007022812293588455,0,0.0,8.504308368628699e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0496,0.001,60,0.20382705967627776,290.23273681734355,0.2902327368173435,-0.08640567714106574,-0.08711632110160356,0,0.0006725980178214272,0.0007022812293588455,0,0.0,8.504308368628699e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0496,0.003,60,0.20382705967627776,290.23273681734355,0.8706982104520306,-0.6668711507757528,-0.6666457391766891,0,0.0006725980178214272,0.0007022812293588455,0,0.0,8.504308368628699e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0496,0.01,60,0.20382705967627776,290.23273681734355,2.9023273681734354,-2.6985003084971577,-2.697910535093186,0,0.0006725980178214272,0.0007022812293588455,0,0.0,8.504308368628699e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0496,0.03,60,0.20382705967627776,290.23273681734355,8.706982104520305,-8.503155044844027,-8.504982217972788,0,0.0006725980178214272,0.0007022812293588455,0,0.0,8.504308368628699e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0496,0.1,60,0.20382705967627776,290.23273681734355,29.023273681734352,-28.819446622058074,-28.82535519920824,0,0.0006725980178214272,0.0007022812293588455,0,0.0,8.504308368628699e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0988,0.0,60,13.449728527043208,302.1397621094598,0.0,13.449728527043208,13.282582027825145,60,0.042163268334735354,0.04449316813090323,0,0.0,5.284661597215746e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0988,1e-05,60,13.449728527043208,302.1397621094598,0.0030213976210945984,13.446707129422112,13.27955806530674,60,0.042163268334735354,0.04449316813090323,0,0.0,5.284661597215746e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0988,3e-05,60,13.449728527043208,302.1397621094598,0.009064192863283794,13.440664334179923,13.273510140269927,60,0.042163268334735354,0.04449316813090323,0,0.0,5.284661597215746e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0988,0.0001,60,13.449728527043208,302.1397621094598,0.03021397621094598,13.41951455083226,13.25234240264109,60,0.042163268334735354,0.04449316813090323,0,0.0,5.284661597215746e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0988,0.0003,60,13.449728527043208,302.1397621094598,0.09064192863283793,13.359086598410368,13.191863152272987,60,0.042163268334735354,0.04449316813090323,0,0.0,5.284661597215746e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0988,0.001,60,13.449728527043208,302.1397621094598,0.30213976210945975,13.147588764933746,12.980185775984616,60,0.042163268334735354,0.04449316813090323,0,0.0,5.284661597215746e-14
