profile,seed,arm,exact_oriented_effect,P1W_phase0,P1W_phase_pi2,oriented_effect
medium,20260742,quantum_direct_coupled,0.026703474128,0.391357421875,0.361572265625,0.02978515625
medium,20260742,quantum_dephased_control,6.7851275e-05,0.50390625,0.4912109375,0.0126953125
medium,20260743,quantum_field_only,0.0,0.531005859375,0.533935546875,-0.0029296875
medium,20260743,quantum_no_entangle,0.0,0.515625,0.50927734375,0.00634765625
medium,20260743,quantum_direct_coupled,0.026703474128,0.39111328125,0.3671875,0.02392578125
medium,20260743,quantum_dephased_control,6.7851275e-05,0.49658203125,0.49853515625,-0.001953125
medium,20260744,quantum_field_only,0.0,0.531982421875,0.5361328125,-0.004150390625
medium,20260744,quantum_no_entangle,0.0,0.52734375,0.5068359375,0.0205078125
medium,20260744,quantum_direct_coupled,0.026703474128,0.38818359375,0.368408203125,0.019775390625
medium,20260744,quantum_dephased_control,6.7851275e-05,0.502685546875,0.490966796875,0.01171875
medium,20260745,quantum_field_only,0.0,0.532958984375,0.519775390625,0.01318359375
medium,20260745,quantum_no_entangle,0.0,0.520263671875,0.523193359375,-0.0029296875
medium,20260745,quantum_direct_coupled,0.026703474128,0.388671875,0.366455078125,0.022216796875
medium,20260745,quantum_dephased_control,6.7851275e-05,0.494140625,0.497802734375,-0.003662109375
medium,20260746,quantum_field_only,0.0,0.53369140625,0.53466796875,-0.0009765625
medium,20260746,quantum_no_entangle,0.0,0.5146484375,0.52783203125,-0.01318359375
medium,20260746,quantum_direct_coupled,0.026703474128,0.388916015625,0.350341796875,0.03857421875
medium,20260746,quantum_dephased_control,6.7851275e-05,0.49169921875,0.512939453125,-0.021240234375
medium,20260747,quantum_field_only,0.0,0.5341796875,0.52392578125,0.01025390625
medium,20260747,quantum_no_entangle,0.0,0.521484375,0.528564453125,-0.007080078125
medium,20260747,quantum_direct_coupled,0.026703474128,0.38232421875,0.36376953125,0.0185546875
medium,20260747,quantum_dephased_control,6.7851275e-05,0.511962890625,0.504150390625,0.0078125
medium,20260748,quantum_field_only,0.0,0.53076171875,0.53125,-0.00048828125
medium,20260748,quantum_no_entangle,0.0,0.5234375,0.519287109375,0.004150390625
medium,20260748,quantum_direct_coupled,0.026703474128,0.39404296875,0.361083984375,0.032958984375
medium,20260748,quantum_dephased_control,6.7851275e-05,0.50341796875,0.508544921875,-0.005126953125
medium,20260749,quantum_field_only,0.0,0.5302734375,0.535400390625,-0.005126953125
medium,20260749,quantum_no_entangle,0.0,0.5234375,0.514892578125,0.008544921875
medium,20260749,quantum_direct_coupled,0.026703474128,0.390380859375,0.365966796875,0.0244140625
medium,20260749,quantum_dephased_control,6.7851275e-05,0.49853515625,0.48876953125,0.009765625
medium,20260750,quantum_field_only,0.0,0.528564453125,0.5302734375,-0.001708984375
medium,20260750,quantum_no_entangle,0.0,0.513427734375,0.512451171875,0.0009765625
medium,20260750,quantum_direct_coupled,0.026703474128,0.387451171875,0.35986328125,0.027587890625
medium,20260750,quantum_dephased_control,6.7851275e-05,0.494384765625,0.508056640625,-0.013671875
medium,20260751,quantum_field_only,0.0,0.533935546875,0.53564453125,-0.001708984375
medium,20260751,quantum_no_entangle,0.0,0.517822265625,0.511474609375,0.00634765625
medium,20260751,quantum_direct_coupled,0.026703474128,0.3828125,0.361572265625,0.021240234375
medium,20260751,quantum_dephased_control,6.7851275e-05,0.5009765625,0.501708984375,-0.000732421875
medium,20260752,quantum_field_only,0.0,0.526123046875,0.5244140625,0.001708984375
medium,20260752,quantum_no_entangle,0.0,0.52001953125,0.508544921875,0.011474609375
medium,20260752,quantum_direct_coupled,0.026703474128,0.38671875,0.3525390625,0.0341796875
medium,20260752,quantum_dephased_control,6.7851275e-05,0.504638671875,0.51171875,-0.007080078125
medium,20260753,quantum_field_only,0.0,0.535400390625,0.534423828125,0.0009765625
medium,20260753,quantum_no_entangle,0.0,0.5302734375,0.509765625,0.0205078125
medium,20260753,quantum_direct_coupled,0.026703474128,0.385009765625,0.3623046875,0.022705078125
medium,20260753,quantum_dephased_control,6.7851275e-05,0.4921875,0.50634765625,-0.01416015625
medium,20260754,quantum_field_only,0.0,0.529296875,0.527587890625,0.001708984375
medium,20260754,quantum_no_entangle,0.0,0.506103515625,0.5341796875,-0.028076171875
medium,20260754,quantum_direct_coupled,0.026703474128,0.397216796875,0.36376953125,0.033447265625
medium,20260754,quantum_dephased_control,6.7851275e-05,0.4990234375,0.497802734375,0.001220703125
medium,20260755,quantum_field_only,0.0,0.528076171875,0.5302734375,-0.002197265625
medium,20260755,quantum_no_entangle,0.0,0.510498046875,0.508056640625,0.00244140625
medium,20260755,quantum_direct_coupled,0.026703474128,0.380615234375,0.362060546875,0.0185546875
medium,20260755,quantum_dephased_control,6.7851275e-05,0.505126953125,0.499755859375,0.00537109375
medium,20260756,quantum_field_only,0.0,0.52978515625,0.5224609375,0.00732421875
medium,20260756,quantum_no_entangle,0.0,0.50634765625,0.507568359375,-0.001220703125
medium,20260756,quantum_direct_coupled,0.026703474128,0.38720703125,0.365478515625,0.021728515625
medium,20260756,quantum_dephased_control,6.7851275e-05,0.49853515625,0.510009765625,-0.011474609375
heavy,20260741,quantum_field_only,-0.0,0.50830078125,0.52783203125,-0.01953125
heavy,20260741,quantum_no_entangle,-0.0,0.48681640625,0.498779296875,-0.011962890625
heavy,20260741,quantum_direct_coupled,0.012788910146,0.42822265625,0.423095703125,0.005126953125
