source_arm,key,angle_multiplier,n_seed,mean_prep_coherence,mean_prep_MI,mean_readout_W,mean_diag_shadow_readout_W,mean_coherence_attributable_readout_W,positive_coherence_attributable_seed_count,mean_final_coherence,mean_final_MI
classical,phase_shuffled_angle_key,1.0,60,0.0,0.0006633090752853573,17.913444374008584,17.913444374008584,0.0,0,0.6909423537500967,0.001436194488038452
classical,phase_shuffled_angle_key,1.5,60,0.0,0.0006633090752853573,25.722293192272783,25.722293192272783,0.0,0,0.45277883922362505,0.0012344419919584526
classical,phase_shuffled_angle_key,2.0,60,0.0,0.0006633090752853573,28.615411709993207,28.615411709993207,0.0,0,0.03664198556730481,0.00023706641013429306
full_dephase,angle_key,-2.0,60,0.0,0.004271531431649859,28.83224065766149,28.83224065766149,0.0,0,0.024757443108659835,0.00010304950043242759
full_dephase,angle_key,-1.5,60,0.0,0.004271531431649859,28.01448562523323,28.01448562523323,0.0,0,0.21419192191029443,0.0006633970162203757
full_dephase,angle_key,-1.0,60,0.0,0.004271531431649859,25.82555754963246,25.82555754963246,0.0,0,0.4115623211199867,0.0015482067742492564
full_dephase,angle_key,-0.5,60,0.0,0.004271531431649859,18.519383864350836,18.519383864350836,0.0,0,0.6622491537373095,0.001470796567414104
full_dephase,angle_key,0.0,60,0.0,0.004271531431649859,0.2583555272866659,0.2583555272866659,0.0,0,0.0,4.132683331479805e-08
full_dephase,angle_key,0.5,60,0.0,0.004271531431649859,18.519383864350836,18.519383864350836,0.0,0,0.6622491537373095,0.0014707965674140568
full_dephase,angle_key,1.0,60,0.0,0.004271531431649859,25.82555754963246,25.82555754963246,0.0,0,0.4115623211199867,0.0015482067742492488
full_dephase,angle_key,1.5,60,0.0,0.004271531431649859,28.014485625233227,28.014485625233227,0.0,0,0.21419192191029443,0.0006633970162205116
full_dephase,angle_key,2.0,60,0.0,0.004271531431649859,28.83224065766149,28.83224065766149,0.0,0,0.024757443108659835,0.00010304950043242613
full_dephase,phase_shuffled_angle_key,-2.0,60,0.0,0.004271531431649859,28.806840925325886,28.806840925325886,0.0,0,0.036641985568429805,0.00023710136947572807
full_dephase,phase_shuffled_angle_key,-1.5,60,0.0,0.004271531431649859,25.80216163603537,25.80216163603537,0.0,0,0.44644883972009247,0.001301681997097255
full_dephase,phase_shuffled_angle_key,-1.0,60,0.0,0.004271531431649859,17.79198705571253,17.79198705571253,0.0,0,0.6841984814407317,0.0015790400907117557
full_dephase,phase_shuffled_angle_key,-0.5,60,0.0,0.004271531431649859,7.9323895524208465,7.9323895524208465,0.0,0,0.5058491034326593,0.0003390778138820483
full_dephase,phase_shuffled_angle_key,0.0,60,0.0,0.004271531431649859,0.2583555272866659,0.2583555272866659,0.0,0,0.0,4.132683331479805e-08
full_dephase,phase_shuffled_angle_key,0.5,60,0.0,0.004271531431649859,7.901311518884597,7.901311518884597,0.0,0,0.557867537496558,0.00040231258515000375
full_dephase,phase_shuffled_angle_key,1.0,60,0.0,0.004271531431649859,17.857507943764258,17.857507943764258,0.0,0,0.6909471483947898,0.0014362735241625045
full_dephase,phase_shuffled_angle_key,1.5,60,0.0,0.004271531431649859,25.839940095650455,25.839940095650455,0.0,0,0.4527789064799458,0.0012344771456957871
full_dephase,phase_shuffled_angle_key,2.0,60,0.0,0.004271531431649859,28.806840925325886,28.806840925325886,0.0,0,0.036641985568429805,0.0002371013694757432
