scenario_id,family,pattern,n_steps,delta_l1_coherence,delta_purity,max_abs_part_P1_delta,max_abs_ZZ_delta,max_abs_negativity_delta,part_P1_delta_json,pair_ZZ_delta_json,pair_negativity_delta_json,seed,scope
1014,measurement_timing_intervention,measure_middle_after_touch,5,3.36908388383,0.0,0.616729501101,0.856738967682,0.208510815693,"{""A"": 0.616729501101, ""B"": 0.21586265637, ""C"": 0.251804769677, ""D"": 0.358237967024}","{""AB"": -0.856738967682, ""AC"": -0.453487900911, ""AD"": -0.166472235957, ""BC"": -0.475291305219, ""BD"": -0.576810173031, ""CD"": -0.452779574442}","{""AB"": 0.006245166926, ""AC"": 0.0, ""AD"": 0.002898537876, ""BC"": 0.127463577247, ""BD"": 0.208510815693, ""CD"": 0.075766231196}",20260716,expanded_axes
1015,measurement_timing_intervention,late_measure_all_then_continue,5,0.336983634803,0.0,0.629089991636,0.913609865504,0.19195120529,"{""A"": 0.629089991636, ""B"": 0.039099181744, ""C"": -0.09106563161, ""D"": 0.110020802787}","{""AB"": -0.913609865504, ""AC"": -0.860987801218, ""AD"": -0.496720003538, ""BC"": 0.085988499406, ""BD"": -0.171474771358, ""CD"": -0.209064630066}","{""AB"": 0.19195120529, ""AC"": 0.041165054661, ""AD"": 0.0, ""BC"": 0.004639475198, ""BD"": 0.0, ""CD"": 0.16051983942}",20260716,expanded_axes
1016,measurement_timing_intervention,sparse_edge_measure,7,2.613366976523,0.0,0.414190643484,1.075938098297,0.138291268235,"{""A"": 0.412944958579, ""B"": 0.414190643484, ""C"": 0.24653753006, ""D"": 0.191483421568}","{""AB"": -0.155206822243, ""AC"": -0.734657448811, ""AD"": -0.350535799799, ""BC"": -1.075938098297, ""BD"": -0.593374136082, ""CD"": -0.004755315119}","{""AB"": 0.100371688855, ""AC"": 0.0, ""AD"": 0.0, ""BC"": 0.138291268235, ""BD"": 0.004933013259, ""CD"": 0.058067587645}",20260716,expanded_axes
1017,duplication_asymmetry,A_and_D_duplicate_like_parallel,4,3.532668362586,0.0,0.344418714451,0.712816595462,0.150308493053,"{""A"": 0.293709608564, ""B"": 0.011834463892, ""C"": 0.344418714451, ""D"": 0.252507486178}","{""AB"": -0.424771220948, ""AC"": -0.712816595462, ""AD"": -0.241266055729, ""BC"": -0.518579413492, ""BD"": -0.336697854559, ""CD"": -0.308663001954}","{""AB"": 0.050847631868, ""AC"": 0.150308493053, ""AD"": 0.008043922881, ""BC"": 0.085801634668, ""BD"": 0.072815099899, ""CD"": 0.066184263861}",20260716,expanded_axes
1018,duplication_asymmetry,A_D_duplicate_like_unequal,4,3.460389936408,0.0,0.351286942138,0.627934529192,0.13151992978,"{""A"": 0.298803324175, ""B"": 0.005879853826, ""C"": 0.351286942138, ""D"": 0.265111672906}","{""AB"": -0.403178277966, ""AC"": -0.627934529192, ""AD"": -0.248676710843, ""BC"": -0.489607099181, ""BD"": -0.353809463091, ""CD"": -0.392583908303}","{""AB"": 0.042925429506, ""AC"": 0.13151992978, ""AD"": 0.0, ""BC"": 0.08529446981, ""BD"": 0.082212766202, ""CD"": 0.077016186366}",20260716,expanded_axes
1019,duplication_asymmetry,one_part_overdriven_B,5,2.433145873112,0.0,0.414932505698,0.941756463863,0.246976235942,"{""A"": 0.414218679987, ""B"": 0.118466804611, ""C"": 0.155929465588, ""D"": 0.414932505698}","{""AB"": -0.661931766889, ""AC"": -0.563219590422, ""AD"": -0.197421723703, ""BC"": 0.121921131821, ""BD"": -0.941756463863, ""CD"": -0.558265155392}","{""AB"": 0.0, ""AC"": 2.3235403e-05, ""AD"": 0.164478024687, ""BC"": 0.246976235942, ""BD"": 0.082848170052, ""CD"": 0.066667613903}",20260716,expanded_axes
1020,duplication_asymmetry,one_part_suppressed_C,5,2.900964770087,-0.016507040911,0.494920203057,0.789019685788,0.209840780532,"{""A"": 0.494920203057, ""B"": 0.464198668733, ""C"": 0.294403065449, ""D"": 0.143254362492}","{""AB"": -0.452656091393, ""AC"": -0.425015181848, ""AD"": -0.380645930961, ""BC"": -0.631844469412, ""BD"": -0.261045280162, ""CD"": -0.789019685788}","{""AB"": 0.017190212844, ""AC"": 0.0, ""AD"": 3.971514e-06, ""BC"": 0.209840780532, ""BD"": 0.045243603883, ""CD"": 0.096588078557}",20260716,expanded_axes
1021,duplication_asymmetry,asymmetric_long_link_AD,5,4.281705684497,0.0,0.492097113919,0.719610433292,0.153475349664,"{""A"": 0.492097113919, ""B"": 0.376672496434, ""C"": 0.231230845776, ""D"": 0.255606811272}","{""AB"": -0.719610433292, ""AC"": -0.505416561932, ""AD"": -0.592478980623, ""BC"": -0.548723063448, ""BD"": 0.029494814978, ""CD"": -0.478354089046}","{""AB"": 0.085405069088, ""AC"": 0.004797015983, ""AD"": 0.078650226888, ""BC"": 0.023084000564, ""BD"": 0.153475349664, ""CD"": 0.044333108721}",20260716,expanded_axes
1,all_24_touch_orders,ABCD,9,2.330303208357,0.0,0.639510428559,0.661783414529,0.312849394204,"{""A"": 0.466954871085, ""B"": 0.216478206499, ""C"": 0.229817247133, ""D"": 0.639510428559}","{""AB"": -0.467468352066, ""AC"": -0.661783414529, ""AD"": -0.227882050501, ""BC"": -0.559303619651, ""BD"": -0.605869580962, ""CD"": -0.328601641711}","{""AB"": 0.021920383315, ""AC"": 0.015152206895, ""AD"": 0.0, ""BC"": 0.312849394204, ""BD"": 0.015174236971, ""CD"": 0.085048511515}",20260717,original_54
2,all_24_touch_orders,ABDC,9,3.331778180145,0.0,0.604801439603,0.645764015141,0.287592416004,"{""A"": 0.488760809175, ""B"": 0.229879942485, ""C"": 0.287086504598, ""D"": 0.604801439603}","{""AB"": -0.524999719371, ""AC"": -0.645764015141, ""AD"": -0.25691070388, ""BC"": -0.562268884408, ""BD"": -0.564898576104, ""CD"": -0.181292889306}","{""AB"": 0.030086091498, ""AC"": 0.012251255074, ""AD"": 0.0, ""BC"": 0.287592416004, ""BD"": 0.009427607951, ""CD"": 0.125473192659}",20260717,original_54
