region_type,grid_id,structure,g_internal,theta_in_RE,theta_out_DW,out_layers,n_seed,resource_attributable_W_mean,resource_attributable_W_std,central_resource_attributable_W_mean,fixed_to_matched_central_ratio_mean,efficiency_resource_to_W_mean,efficiency_resource_to_W_std,net_resource_transfer_mean,initial_internal_energy_change_mean,Q_noise_cum_mean,D_population_mean,D_to_W_flow_cum_mean,max_abs_energy_balance_residual,max_U_DW_commutator_norm,n_efficiency_gt_1,n_outlet_narrow
top_resource_attributable_W,QFCBM_0992,ring,0.4,0.8,0.2,8,10,14.9003464583507,0.18923517599663908,47.86606875049641,0.3112838576912404,0.4583854123297623,0.0012830305681382132,32.50568212586532,1.6314448825937315,17.750583828345754,6.572145057113297e-05,16.386543180113144,6.217248937900877e-15,0.0,0,0
top_resource_attributable_W,QFCBM_0495,chain,0.4,0.8,0.4,4,10,11.039254315852478,0.15547110622634427,47.345470428371975,0.23315685285366378,0.3590744177858908,0.00041565136637688934,30.74343049732525,1.5069961735904112,19.988886870042304,4.9177314159037055e-05,12.261539800872905,2.4424906541753444e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0498,chain,0.4,0.8,0.8,2,10,11.03925431585246,0.15547110622634244,47.34547042837169,0.2331568528536648,0.3590744177858873,0.0004156513663763331,30.743430497325498,1.506996173590414,19.988886870042265,4.9177314159036954e-05,12.261539800872885,1.7985612998927536e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0492,chain,0.4,0.8,0.2,8,10,11.039254315852453,0.15547110622634294,47.3454704283716,0.2331568528536651,0.3590744177858862,0.0004156513663766688,30.743430497325573,1.5069961735904154,19.988886870042258,4.917731415903672e-05,12.261539800872878,2.1760371282653068e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0468,chain,0.4,0.4,0.1,8,10,9.947793814123486,0.10301327936297472,15.359245049771735,0.6476631728436352,0.5488982828535653,0.0002563014519668374,18.12318769881996,2.2000523952093785,8.984960869504988,0.05026612551796271,11.33827922452669,7.949196856316122e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0474,chain,0.4,0.4,0.4,2,10,9.94779381412339,0.10301327936297121,15.359245049771516,0.647663172843638,0.5488982828535225,0.00025630145196897197,18.1231876988212,2.200052395209383,8.984960869504913,0.0502661255179622,11.338279224526591,2.753353101070388e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0477,chain,0.4,0.4,0.8,1,10,9.947793814123372,0.10301327936297729,15.359245049771479,0.6476631728436384,0.5488982828535133,0.0002563014519694729,18.123187698821468,2.200052395209384,8.9849608695049,0.050266125517962126,11.338279224526573,1.9539925233402755e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0471,chain,0.4,0.4,0.2,4,10,9.947793814123369,0.10301327936297748,15.35924504977147,0.6476631728436385,0.5488982828535122,0.00025630145196973465,18.123187698821503,2.200052395209384,8.984960869504896,0.050266125517962126,11.33827922452657,1.8651746813702633e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0484,chain,0.4,0.8,0.05,8,10,9.876997053639945,0.11826777837067705,15.209574925794575,0.6493788983580864,0.31329955339775967,0.00032745718148727363,31.525608768928294,1.3778174340020637,22.220049265789342,0.28089912327760513,10.683376937143654,8.79296635503124e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0487,chain,0.4,0.8,0.1,4,10,9.876997053639892,0.11826777837067794,15.20957492579445,0.6493788983580882,0.31329955339775084,0.0003274571814877444,31.52560876892901,1.3778174340020746,22.220049265789232,0.2808991232776037,10.683376937143601,5.995204332975845e-14,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0408,chain,0.4,0.05,0.1,8,10,0.23430146894372034,0.002270582484323062,0.3024433452854044,0.774684139365666,0.5607836166798997,0.00019568228066691907,0.41781079825229595,2.4639395005076854,1.256963419414509,0.00720318662116917,1.624786879346925,3.2862601528904634e-14,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0414,chain,0.4,0.05,0.4,2,10,0.23430146894371914,0.0022705824843234656,0.30244334528540306,0.7746841393656654,0.5607836166794617,0.00019568228063680508,0.41781079825261996,2.4639395005076854,1.2569634194145074,0.00720318662116913,1.624786879346921,3.0198066269804264e-14,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0417,chain,0.4,0.05,0.8,1,10,0.23430146894371884,0.002270582484323524,0.30244334528540306,0.7746841393656644,0.5607836166793577,0.00019568228067248604,0.41781079825269674,2.4639395005076854,1.256963419414507,0.00720318662116913,1.6247868793469202,2.886579864025407e-14,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0411,chain,0.4,0.05,0.2,4,10,0.234301468943719,0.0022705824843235237,0.302443345285403,0.7746841393656652,0.5607836166793196,0.0001956822806282389,0.41781079825272516,2.4639395005076854,1.2569634194145072,0.00720318662116913,1.6247868793469202,2.930988785010413e-14,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0428,chain,0.4,0.1,0.1,8,10,0.9159115821974586,0.008916514471103908,1.1938621440800985,0.7671724075159052,0.5601517840582291,0.0001985675898991456,1.6351130290413352,2.4489996346785334,1.7777156711213036,0.01022497668548604,2.306396992600663,4.973799150320701e-14,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0434,chain,0.4,0.1,0.4,2,10,0.9159115821974545,0.008916514471104264,1.1938621440800927,0.7671724075159055,0.5601517840580502,0.00019856758989452404,1.6351130290418496,2.4489996346785334,1.7777156711213002,0.010224976685486008,2.3063969926006562,4.1300296516055823e-14,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0437,chain,0.4,0.1,0.8,1,10,0.9159115821974542,0.008916514471104591,1.1938621440800925,0.7671724075159054,0.5601517840580316,0.00019856758989433994,1.6351130290419036,2.4489996346785334,1.7777156711213,0.010224976685486,2.3063969926006553,4.085620730620576e-14,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0431,chain,0.4,0.1,0.2,4,10,0.9159115821974539,0.008916514471104522,1.1938621440800925,0.7671724075159052,0.5601517840580226,0.00019856758989259107,1.6351130290419291,2.4489996346785334,1.7777156711213,0.010224976685486,2.306396992600655,4.0412118096355704e-14,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0448,chain,0.4,0.2,0.1,8,10,3.3560544449147933,0.033209123365785104,4.542644511391847,0.7387773031506287,0.5577053050610846,0.00021010086239300828,6.017611112648305,2.3919081560517794,3.6629794133827724,0.02104289049676199,4.746539855317998,2.131628207280301e-14,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0454,chain,0.4,0.2,0.4,2,10,3.3560544449147756,0.03320912336578513,4.542644511391818,0.7387773031506295,0.5577053050610198,0.00021010086239226682,6.017611112648973,2.3919081560517794,3.662979413382761,0.02104289049676188,4.746539855317978,4.440892098500626e-15,0.0,0,0
top_efficiency_resource_to_W,QFCBM_0457,chain,0.4,0.2,0.8,1,10,3.356054444914773,0.0332091233657853,4.5426445113918135,0.7387773031506295,0.557705305061009,0.00021010086239205792,6.017611112649083,2.3919081560517794,3.6629794133827587,0.02104289049676186,4.746539855317974,8.215650382226158e-15,0.0,0,0
