coupling_mode,intervention,n,mean_abs_delta_P1_W,mean_delta_P1_W,mean_delta_l1_coherence,mean_delta_purity,mean_delta_max_link_negativity,top_label,label_counts
dephased_chain,ry_touch,56,0.000297812667,0.000291603395,0.003937943818,6.68419e-06,0.0,quiet_or_absorbed,{'quiet_or_absorbed': 56}
dephased_chain,rz_phase_kick,56,0.000544759064,-0.000543453064,-0.000871248849,-9.794255e-06,0.0,quiet_or_absorbed,{'quiet_or_absorbed': 56}
dephased_chain,saturation_drive,56,0.00065685606,-0.000651327275,0.01175580958,1.3255661e-05,0.0,quiet_or_absorbed,{'quiet_or_absorbed': 56}
dephased_chain,weak_measurement_patch,56,5.2105131e-05,2.0145885e-05,-0.015889411503,-4.2458833e-05,0.0,quiet_or_absorbed,{'quiet_or_absorbed': 56}
dephased_chain,x_flip_touch,56,0.001316566002,0.001315720754,0.000489684439,8.330499e-06,0.0,quiet_or_absorbed,{'quiet_or_absorbed': 56}
dephased_chain,z_dephase_patch,56,2.509245e-05,-2.4963232e-05,-0.009391297487,-2.6497471e-05,0.0,quiet_or_absorbed,{'quiet_or_absorbed': 56}
direct_chain,echo_reversal,56,0.003979422682,-0.002176913704,0.12441996139,0.0,0.003295772127,mixed_small_response,"{'mixed_small_response': 29, 'coherence_amplification': 2, 'quiet_or_absorbed': 19, 'entanglement_gain_without_output_shift': 4, 'entanglement_linked_distal_response': 2}"
direct_chain,reset_patch,56,0.000819059866,-0.000779020124,0.013592607181,-0.014183625133,-0.014701306462,quiet_or_absorbed,"{'quiet_or_absorbed': 30, 'mixed_small_response': 26}"
direct_chain,ry_touch,56,0.005970376588,0.005627887322,0.006981431218,0.0,0.025927978149,mixed_small_response,"{'quiet_or_absorbed': 10, 'mixed_small_response': 26, 'entanglement_gain_without_output_shift': 20}"
direct_chain,rz_phase_kick,56,0.003524972542,-0.002416942108,0.272967719643,0.0,-0.005728113031,mixed_small_response,"{'mixed_small_response': 31, 'coherence_amplification': 10, 'quiet_or_absorbed': 9, 'entanglement_gain_without_output_shift': 5, 'coherence_loss': 1}"
direct_chain,saturation_drive,56,0.02016124064,-0.01092083558,0.737528830949,0.0,0.002694236975,mixed_small_response,"{'mixed_small_response': 18, 'entanglement_gain_without_output_shift': 17, 'coherence_amplification': 14, 'direct_output_response': 2, 'quiet_or_absorbed': 2, 'entanglement_linked_distal_response': 3}"
direct_chain,weak_measurement_patch,56,0.007757464063,-0.007542079285,-1.111297807446,-0.237573231133,-0.07872161758,mixed_small_response,"{'mixed_small_response': 26, 'collapse_like_decoherence': 25, 'coherence_loss': 4, 'quiet_or_absorbed': 1}"
