grid_id,structure,g_internal,theta_in_RE,theta_out_DW,out_layers,n_seed,resource_attributable_W_mean,resource_attributable_W_std,central_resource_attributable_W_mean,fixed_to_matched_central_ratio_mean,efficiency_resource_to_W_mean,efficiency_resource_to_W_std,net_resource_transfer_mean,initial_internal_energy_change_mean,Q_noise_cum_mean,D_population_mean,D_to_W_flow_cum_mean,max_abs_energy_balance_residual,max_U_DW_commutator_norm,n_efficiency_gt_1,n_outlet_narrow
QFCBM_0293,chain,0.1,0.8,0.4,1,10,0.41801523685857456,0.017746166017452467,7.754470104461902,0.05389010978334302,0.029164708326452782,0.0006057651077886118,14.328346632906866,1.515993632891511,14.845958648157605,0.026250550059397647,0.99838161764125,1.7319479184152442e-14,0.0,0,0
QFCBM_0294,chain,0.1,0.8,0.4,2,10,0.37605239459592976,0.01581201708556623,10.765059334136211,0.03492165261535067,0.026252737187621795,0.000528487151738242,14.319868937370705,1.5119155238463757,14.736049892365845,0.00485773284301623,1.0957345688517444,2.042810365310288e-14,0.0,0,0
QFCBM_0295,chain,0.1,0.8,0.4,4,10,0.12372713818797058,0.005192417029820592,5.680982825425427,0.021772413497778243,0.008650651136493935,0.0001718780967571642,14.298232880048525,1.48550917472059,15.040126093001968,2.9824178985187907e-06,0.7436159617676804,1.6431300764452317e-14,0.0,0,0
QFCBM_0296,chain,0.1,0.8,0.4,8,10,0.0005296942452123796,2.4401106363434217e-05,0.07044264054748704,0.007525915932618521,3.705664379800365e-05,8.731550815842366e-07,14.288472059052989,1.4725533282376877,15.731049239441665,0.04120503004694081,0.029976147850076067,4.085620730620576e-14,0.0,0,4
QFCBM_0297,chain,0.1,0.8,0.8,1,10,0.37605239459592965,0.015812017085566177,10.765059334136192,0.034921652615350726,0.026252737187621767,0.0005284871517382429,14.319868937370718,1.5119155238463762,14.736049892365845,0.00485773284301623,1.0957345688517441,1.554312234475219e-14,0.0,0,0
QFCBM_0298,chain,0.1,0.8,0.8,2,10,0.12372713818797057,0.00519241702982052,5.68098282542542,0.021772413497778264,0.008650651136493912,0.00017187809675714812,14.298232880048563,1.4855091747205904,15.040126093001962,2.982417898518762e-06,0.7436159617676802,1.4210854715202004e-14,0.0,0,0
QFCBM_0299,chain,0.1,0.8,0.8,4,10,0.0005296942452123599,2.4401106363409995e-05,0.07044264054748614,0.0075259159326183335,3.705664379800072e-05,8.731550815810294e-07,14.28847205905359,1.472553328237692,15.731049239441598,0.041205030046940476,0.029976147850075803,1.376676550535194e-14,0.0,0,4
QFCBM_0300,chain,0.1,0.8,0.8,8,10,0.08639071518416883,0.003718402464106874,1.1037639189585775,0.07824794897255749,0.006034221513322553,0.00012949246287885651,14.312033142932865,1.479891485458071,15.595961657001308,0.06688265069198203,0.19596297138993296,1.376676550535194e-14,0.0,0,0
QFCBM_0301,chain,0.2,0.05,0.05,1,10,0.002487163414803599,4.184601755943679e-05,0.004393321992537451,0.5661140019675444,0.006096635858078256,8.14019934204798e-06,0.40795235116916045,2.4518967928174584,2.8363064087471566,0.04418659346297078,0.023542735239854052,2.220446049250313e-14,0.0,0,0
QFCBM_0302,chain,0.2,0.05,0.05,2,10,0.0095603068873334,0.00016021994008792061,0.01702815223485967,0.5614298603287823,0.023420940135552754,3.031927741399145e-05,0.40819070512592076,2.4524335257715455,2.7700887674291907,0.04226827417350548,0.0905354634688132,2.2648549702353197e-14,0.0,0,0
