grid_id,controller,kappa,M_initial_label,n_seed,mean_resource_attributable_W,median_resource_attributable_W,n_resource_attr_positive,all_resource_attr_positive,mean_controller_energy_spent,mean_M_energy_final,mean_controller_starved_cycles,max_emitted_when_starved_cycles,mean_angle_budget,mean_net_after_controller_spend,n_net_after_spend_positive,all_net_after_spend_positive,max_residual
QFCBM_0399,evolved_random_budget,0.03,unlimited,60,0.021351534673788218,0.020591529084367698,60,True,4.222041917066979,inf,0.0,0.0,140.73473056889918,-4.20069038239319,0,False,6.505906924303417e-14
QFCBM_0399,evolved_shuffled_signal,0.0,0.0,60,-2.5301890574022657e-17,-2.0816681711721685e-17,0,False,0.0,0.0,200.0,0.0,0.0,-2.5301890574022657e-17,0,False,4.39648317751562e-14
QFCBM_0399,evolved_shuffled_signal,0.0,0.2,60,0.0010449376995493402,0.0010225979499444,54,False,0.0,0.2,0.0,0.0,141.49833513571284,0.0010449376995493402,54,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0,1.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.0,1.0,0.0,0.0,141.49833513571284,0.0010449376995493402,54,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0,20.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.0,20.0,0.0,0.0,141.49833513571284,0.0010449376995493402,54,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0,5.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.0,5.0,0.0,0.0,141.49833513571284,0.0010449376995493402,54,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0,unlimited,60,0.0010449376995493402,0.0010225979499444,54,False,0.0,inf,0.0,0.0,141.49833513571284,0.0010449376995493402,54,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,3e-05,0.0,60,-2.5301890574022657e-17,-2.0816681711721685e-17,0,False,0.0,0.0,200.0,0.0,0.0,-2.5301890574022657e-17,0,False,4.39648317751562e-14
QFCBM_0399,evolved_shuffled_signal,3e-05,0.2,60,0.0010449376995493402,0.0010225979499444,54,False,0.004244950054071344,0.1957550499459288,0.0,0.0,141.49833513571284,-0.0032000123545220032,1,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,3e-05,1.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.004244950054071344,0.9957550499459273,0.0,0.0,141.49833513571284,-0.0032000123545220032,1,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,3e-05,20.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.004244950054071344,19.995755049945938,0.0,0.0,141.49833513571284,-0.0032000123545220032,1,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,3e-05,5.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.004244950054071344,4.995755049945939,0.0,0.0,141.49833513571284,-0.0032000123545220032,1,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,3e-05,unlimited,60,0.0010449376995493402,0.0010225979499444,54,False,0.004244950054071344,inf,0.0,0.0,141.49833513571284,-0.0032000123545220032,1,False,5.4400928206632677e-14
